PI_NAMEs,PROJECT_TITLE,FISCAL_YEAR,ACTIVITY,TOTAL_COST,PROJECT_START,PROJECT_END,FULL_PROJECT_NUM,ORG_NAME,RELEVANCE,REASONING,ABSTRACT,FETCH_STATUS
Rafael Fonseca; AKHILESH PANDEY,Mayo Clinic Center for Clinical Proteomics,2024,U01,914099,2022-06-01T00:00:00,2027-05-31T00:00:00,,,High,"A ""Clinical Proteomics"" center (`U01`) will have a massive bioinformatics component.","PROJECT SUMMARY/ABSTRACT
We propose to create a multidisciplinary Mayo Clinic Center for Clinical Proteomics with the overarching goal
of identifying and validating proteomic biomarkers for treatment response in multiple myeloma. This center is a
unique alliance comprising of two teams within the Mayo Clinic umbrella and one team at Brigham Young
University. This team of physicians and scientists at Mayo Clinic with expertise in multiple myeloma
diagnosis, treatment, clinical trials and basic research as well as technologies such as mass
spectrometry, genomics, transcriptomics, bioinformatics and clinical assay development will be joined
by a world expert in novel instrument/platform development at Brigham Young University to create a
unique center. Multiple myeloma is a complex disease with several distinct cytogenetic subtypes. A recently
developed class of drugs designated immunomodulatory imide drugs (IMiDs) has become a mainstay of
treatment of multiple myeloma although relapses among patients is high mainly due to drug resistance. The
primary target of IMiDs is cereblon (CRBN), which is absolutely required for its anti-cancer and immune activity.
IMiDs activate the enzymatic activity of the CRBN E3 ubiquitin ligase complex leading to ubiquitylation and
degradation of transcription factors IKZF1 and IKZF3, thereby regulating tumor survival and immune response
through downregulation of IRF4 and MYC. For the preclinical arm, our interdisciplinary team will undertake
discovery studies involving comprehensive proteogenomic characterization (proteome, phosphoproteome,
ubiquitylome, genome, transcriptome) of multiple myeloma models (genetically engineered cell lines, humanized
mouse models and patient samples) to identify molecular markers of IMiD resistance. Given the centrality of
CRBN-mediated pathways in IMiD resistance, we will jumpstart our targeted proteomics efforts by
focusing on developing targeted assays for CRBN and its downstream effectors. In parallel, we anticipate
identifying additional candidate proteins through our discovery studies, for which targeted assays will also be
developed. Finally, Dr. Vincent Rajkumar, a co-investigator on this proposal, will provide access to samples from
three NCI-sponsored clinical trials specifically designed to look at effects of IMiDs enabling validation of
candidates through a targeted approach. By incorporating continuous development of multiple technology
platforms including CyTOF, we will ensure that we maintain agility over the duration of the proposal.
With an established advanced infrastructure, personnel experienced in the development of CAP/CLIA assays,
dedicated instrumentation, high analytical capacity and existing pipelines for QC, data handling and
bioinformatics, the proposed Mayo Clinic Center for Clinical Proteomics is poised for success to discover and
validate proteomic markers of IMiD resistance in multiple myeloma.",SUCCESS
MATTHEW GOETZ,Mayo Clinic Breast Cancer SPORE,2024,P50,2314870,2005-07-01T00:00:00,2027-08-31T00:00:00,,,High,Another huge P50 SPORE grant with a definite computational need.,"Program Summary/Abstract
This third renewal application of the Mayo Clinic Breast Cancer SPORE is being submitted with the vision
that the burden of breast cancer (BC) can be reduced through the performance of innovative translational
research addressing issues of high significance for women. The science of the SPORE includes three
translational research projects. Project 1: “The influence of variants in ER-positive BC predisposition genes on
BC risk and response to therapy”. This project builds upon the work from the prior funding period, where the
principal investigators (PIs) identified that certain BC predisposition genes (ATM, CHEK2 and PALB2) were
associated mainly with the risk of ER+ BC. The Pis will assess pathogenic variants in ATM, BRCA2, CHEK2,
PALB2 and determine a) age-related risks, the risks of contralateral BC and second cancers (ovarian,
colorectal, pancreatic etc.), b) the prognostic effects of these PV and c) the clinical relevance of variants of
uncertain significance in ATM, CHEK2, and PALB2. Project 2: “Improving the endocrine management of
premenopausal ER+/HER2- BC” brings forward a new ER-targeting drug, Z-endoxifen (ENDX), for
premenopausal ER+ BC based on new data that ENDX dually targets both ERα and PKCβ1, with potent
protein downregulation of ERα, Cyclin D1, and E2F1. This dual targeting is not only unique to ENDX, but at
the dosing proposed in the clinical trial, ENDX is able to completely block the stimulatory effects of
premenopausal levels of estrogen. Project 3: “Development of a novel multi-antigen BC prevention vaccine
for women with premalignant disease” is based on pioneering work of Mayo investigators to develop a novel
vaccine that targets six antigens collectively expressed by all BC subtypes. The work in this project will provide
critical information that will allow the investigators to a) understand the expression of target antigens during
progression from normal breast tissue to BC; and, b) in the phase I study, evaluate blood and breast tissue
biomarkers of immune response. Successful completion of this project will establish the parameters for a phase III
clinical trial of the vaccine for BC prevention in women with benign breast disease (BBD), with the enormous
potential to drive significant reductions in overall BC incidence and mortality. These research projects are
supported by three highly interactive cores: Core A: Administrative Core, Core B: Biospecimen and Pathology
Core, and Core C: Biostatistics, Bioinformatics, and Patient Registry Core. A Developmental Research
Program will continue to identify and develop research projects that hold the greatest promise to advance to
full SPORE projects, and a Career Enhancement Program will continue to identify and support faculty
investigators in BC translational research that have the greatest potential to become future SPORE leaders.
The investigators, cores, and the research programs in the SPORE are all integrated in the Mayo Clinic Cancer
Center. Collectively, our SPORE will make discoveries and translate them into the clinic for the benefit of
women with, or at risk of BC.",SUCCESS
Bradley Boeve; RONALD PETERSEN,Mayo Alzheimer's Disease Research Center,2024,P30,4509334,2019-07-01T00:00:00,2029-04-30T00:00:00,,,High,"A P30 ADRC is a massive center grant. They have huge data cores (imaging, genetics, clinical).","PROJECT SUMMARY - OVERALL
The Mayo Clinic Alzheimer’s Disease Research Center (ADRC) has been operating at the Mayo Clinic Rochester
(MCR) and Mayo Clinic Florida (MCF) since 1990. The theme of the current cycle of the ADRC is Multiple
Etiology Dementias. We recruit and follow participants on the Alzheimer’s disease (AD), frontotemporal lobar
degeneration (FTLD), Lewy body disorders (LBD) and vascular cognitive impairment dementia (VCID) spectra
to study the roles of multiple pathologic processes functioning to impact cognition in aging. We will be evaluating
the social and structural determinants of health in African American/Black and Hispanic/Latino communities at
MCF and rural residents at MCR to determine the manner in which the multiple pathologic processes evolve in
these communities. Our team has secured several grants in AD, FTLD, LBD and VCID to allow us to leverage
the resources of the ADRC against these projects to advance our knowledge. New cores in this ADRC
application include the Genomics Core that will study the role of multi-omic aspects of various
neurodegenerative and cerebrovascular disease (CVD) disorders, and a Digital Innovation Core that will
combine aspects of artificial intelligence neuroimaging, gait, speech/language and remote cognitive
assessments to help diagnose and evaluate the longitudinal outcome of neurodegenerative and CVD disorders.
The Biomarker Core will evaluate several plasma assays and platforms to determine the utility of these plasma
markers in predicting the underlying pathologies, assisting in the biological aspects of the diagnosis and following
treatments of these disorders. The Neuroimaging Core will continue to unify imaging protocols across
modalities between MCR and MCF as well as move the field forward with defacing MRI and PET images to
maximize research participant privacy. Our Neuropathology Core has been at the forefront of developing
neuropathology criteria and serves the vital function of confirming the multiple etiological nature of most
degenerative/CVD conditions. The Data Management and Statistical Core will continue to lead the field in
electronic data capture for our Center enabling the robust sharing of data. The Research Education
Component has been successful at training the next generation of investigators from underserved populations
and will expand these efforts. The Mayo Clinic ADRC will continue to be a leader in sharing images, data and
biospecimens with the other ADRC’s and the broader research community. The unique focus of the Mayo Clinic
ADRC involving the combinations of most of the major neurodegenerative and CVD disorders will advance the
field for refining diagnoses leading to the development of therapies.",SUCCESS
Ming-Fen Ho; Richard Weinshilboum,Alcohol Use Disorder: Acamprosate Pharmacometabolomics-informed Pharmacogenomics,2024,R01,415165,2024-09-01T00:00:00,2029-06-30T00:00:00,,,High,"""Pharmacometabolomics-informed Pharmacogenomics"" is an extremely computationally dense title.","PROJECT SUMMARY/ABSTRACT
Acamprosate and naltrexone are major medications used in the treatment of alcohol use disorder (AUD).
However, response to treatment with these drugs is variable, with only ~50% of patients achieving optimal
outcomes. As a result, it would be important to identify molecular mechanisms underlying individual variation in
AUD drug treatment outcomes. That information could potentially facilitate the development of individualized
AUD pharmacotherapy regimens as well as the development of novel AUD therapeutic agents. During the
current funding cycle, we performed a series of “Pharmaco-Omic” studies designed to identify biomarkers
associated with acamprosate response for AUD patients enrolled in our Mayo Clinic Center for Individualized
Treatment of Alcohol Dependence (CITA) clinical trial—one of the largest acamprosate AUD clinical trials
and one for which we have generated a series of multiple omics datasets. Using those data, we identified
novel biomarkers associated with variation in acamprosate treatment outcomes. Those biomarkers included, for
example, the FNDC4 gene and a series of other genes—genes which we now propose to study further by
performing functional studies of the AUD biomarkers that we have already identified and to extend those studies
to include a series of protein biomarkers for both AUD drug response and AUD pathophysiology. Finally, we
will also expand our studies to include the application of iPSC-derived brain organoids from both our
AUD patients and control subjects to make it possible to identify genes and biological pathways that
contribute to acamprosate and naltrexone treatment response. In summary, the studies proposed in this
application represent a systematic attempt to identify and study molecular mechanisms underlying and
associated with variation in AUD drug treatment response phenotypes and AUD clinical outcomes in
response to drug therapy. Our use of “multiple omics” to study samples from AUD patients treated with these
drugs, followed by “functional omic” studies of those samples and concluding with the generation and study of
patient-derived brain organoids generated from the same patients make this series of studies truly unique
and—based on our preliminary data—highly promising for the identification of novel candidate genes and
pathways. The results of the proposed studies would represent a significant step toward greater understanding
of the biology of acamprosate and naltrexone treatment response in AUD, potentially leading to the development
of better and more effective AUD drug therapy, an outcome that would represent a significant advance in the
treatment of this disorder.",SUCCESS
Shounak Majumder; Kenneth Zaret,Mayo Clinic Prospective Resource for Biomarker Validation and Early Detection of Pancreatic Cancer,2024,U01,660703,2016-07-15T00:00:00,2027-08-31T00:00:00,,,High,"""Biomarker Validation and Early Detection"" implies a need for biostatisticians and computational biologists.","Pancreatic ductal adenocarcinoma (PDAC) is typically detected at late stage due to absence of a cancer
screening strategy, with concomitant poor survival rates. Detection of PDAC at an early stage positively impacts
survival, and currently screening in eligible high-risk individuals (HRIs) defined by family history and germline
mutation status is considered best practice. The overall goal of this proposal is to use knowledge gained during
the last grant period to considerably enhance our ability to develop and validate the diagnostic performance of
new blood protein and methylated DNA (MDM) biomarkers for early detection of PDAC, using prospective
specimen collection and retrospective blinded evaluation (PRoBE) compliant methods. We hypothesize that a
combination of proteins, MDMs, and CA19-9 will accurately identify early stage PDAC in HRIs. We will assess
the performance characteristics of our approaches in early stage and pre-diagnostic phase of PDAC and identify
approaches that are optimized for clinical translation as an early detection tool using HRIs. For over two decades,
Mayo Clinic’s prospective biospecimen resources have accrued, using standardized high-quality procedures,
well-annotated biospecimens from thousands of PDAC patients including those with germline mutations in
pancreas cancer susceptibility genes, high risk members in familial pancreatic cancer kindreds, patients with
high-risk pancreatic conditions, and healthy controls. We have also launched the PCDC Signature Protocols at
our center. Among those at risk with biospecimens who we have followed longitudinally over two decades,
incident PDAC cases have developed, enabling us to utilize novel approaches to address the challenges and
better design PRoBE phase 3 studies. Based on our findings in the last grant period, we now focus on tailoring
samples for PRoBE phase 2 studies and characterizing performance to improve phase 3 studies. Our approach
will allow us to assess, for example, variability in biomarker expression for intended use HRI settings, and
temporality of biomarker expression to improve the ability to detect early onset PDAC. Our Specific Aims are to:
1) Accrue formal biospecimen sets from blood sample products and pancreatic cyst fluid suitable for PCDC
biomarker studies; 2) Leverage our past knowledge and experience to develop new biomarker panels using
tailored phase 2 designs and incorporating covariates to refine detection (age, sex, race, smoking, personal
history of diabetes mellitus, symptoms at diagnosis) to optimize detection; and 3) Evaluate needed performance
parameters that will inform the design of a successful phase 3 study for PDAC in a surveillance setting of HRIs.
Our multidisciplinary team is committed to continue its leadership and contribution to the PCDC organization to
advance the early detection of pancreatic cancer. Our project leverages existing infrastructures and biospecimen
banks of pancreatic cancer and other pancreatic diseases at Mayo Clinic and University of Pennsylvania, and it
will extend new prospective collections of blood and pancreatic cyst fluid from patients, contributing to PCDC
Signature Protocol cohorts and a PCDC central biorepository.",SUCCESS
Nathan Staff,The Mayo Clinic NeuroNEXT Clinical Research Site,2024,U24,435680,2023-07-15T00:00:00,2028-06-30T00:00:00,,,High,"A U24 ""Research Site"" grant for a network like NeuroNEXT will have a significant data management/coordination component.","Mayo Clinic, which serves ~1.3M patients annually, has a history of excellence in clinical research and clinical trials. Its state-of-the-art research facilities in Rochester, Minnesota, Jacksonville, Florida, and Scottsdale, Arizona enable coordinated clinical trials in the upper Midwest, Southeast, and Southwest United States. The Department of Neurology, which has over 200 child and adult neurologists, has an enterprise-wide leadership structure that supports its integrated practice, research, and education mission. Mayo Clinic Neurology cares for >90,000 adult and pediatric patients annually and has a robust clinical research enterprise. Departmental faculty have clinical expertise and clinical trial experience across the full spectrum of neurological diseases, including rare and ultra-rare conditions. Mayo Clinic is ideally positioned to provide NeuroNEXT the diverse patients with unmet needs and the clinical trialists with expertise in these diseases. Investigator-initiated clinical trials by Mayo neurology faculty will be directed towards NeuroNEXT funding mechanisms. This grant application aims to support, expand, and innovate neuroscience clinical trial activities at all Mayo Clinic sites by providing the infrastructure to ensure robust integration within NeuroNEXT, while leveraging our institutional strengths. Furthermore, the grant will support an innovative program to train the next generation of clinical trialists to thrive in an evolving landscape of innovative trial design and modern regulatory science.",SUCCESS
Azra Alizad; MOSTAFA FATEMI,A Contrast-free Ultrasound-based Quantitative Angio Flow Imaging Technique to Assess Peripheral Arterial Disease of Lower Limb,2024,R01,691708,2024-08-01T00:00:00,2029-07-31T00:00:00,,,High,"""Quantitative... Imaging Technique"" is a computational/signal processing task.","Abstract/Summary
PAD is characterized by impaired blood flow to the lower extremities, causing claudication and exercise
intolerance. Up to now, assessment of PAD is mainly performed by determination of stenosis or occlusion in
the large arteries and does not focus on microcirculation. Impaired arteriolar endothelial function,
microvascular responsiveness to specific stimuli in patients with PAD may play a central role in disease
development and progression. The impaired microvascular reactivity can be assessed by hyperemic
response to contraction and cuff occlusion as well as in response to submaximal exercise. Therefore, imaging
microvascular flow reactivity at various scales using methods that are safe, noninvasive, reliably quantitative,
and low-cost through application of already widely available technology is critically important for early
diagnosis and management of PAD. Here, we propose a novel contrast-free ultrasound pressure-based
method equipped with novel quantitative metrics that involves estimation of blood flow signals in the calf
muscle through processing ultrasound data frames by means of coherent ensemble selection, clutter filtering
using singular value decomposition, and background noise equalization, followed by quantitative analysis of
the flow variations in response to external pressure and submaximal exercise. Our vision is to complement
US with additional quantitative information of microvascular flow imaging that is relevant to disease
progression. Our long-term goal is to develop a new noninvasive tool for early diagnosis of PAD. A
secondary gain from such an imaging method will be monitoring the disease progression and the response
to interventional treatment in PAD patients. The proposed contrast-free ultrasound-based technique is named
Angio Flow Reactivity Analysis (AFRA). An advantage of this technique is that it does not require the use of
contrast agents to produce high-resolution images of the microvasculature flow. The project includes 2
specific aims: Specific Aim 1- Determine the efficacy of the new contrast-free US-based method, AFRA, for
assessment of PAD in patient volunteers with symptoms of claudication or atypical leg syndrome and
correlate the results with ABI and CTA. Specific Aim #2- Determine the efficacy of the proposed contrast-free
US-based method, AFRA, for assessment of disease progression and monitoring the response to
interventional treatment in patients diagnosed with PAD and correlate and the results with ABI and CTA. This
proposal is the result of collaboration among several experts in the field and benefits from the world-class
clinical researchers and facilities at Mayo Clinic. The overall project aims to develop a new contrast-free
ultrasound tool for evaluating microvascular flow changes in the lower leg of patients at risk for PAD, a
disease that leads to common disabilities, amputation, and major cardiovascular events. Successful
completion of this research will open the door for a new technology for this group of patients in the clinic.",SUCCESS
Felicity Enders; ANTHONY WINDEBANK,Mayo Clinic Center for Clinical and Translational Science (CCaTS),2025,TL1,6931828,2017-09-18T00:00:00,2027-06-30T00:00:00,,,High,The main UL1 grant for the CTSA. A prime target because of its extensive informatics and data science cores.,"The long-term objective of the TL1 Program within Mayo Clinic CCaTS is to train tomorrow’s workforce of team-based, translational biomedical researchers at predoctoral levels using the R4 approach to learning (the Right content for the Right learner at the Right time using the Right educational modality). This will create a new generation of researchers who will lead multidisciplinary teams across the translational spectrum to improve health for all communities. The TL1 Program has 3 Specific Aims: 1) Transform the preparation of trainees for success in the workforce of the future, including uncovering the hidden curriculum for research and further developing our supportive scholar community in partnership with the KL2 Program. 2) Expand and integrate training opportunities in translational science, including foci in patient and community engagement and data immersion to promote health for all people, using novel approaches including rotations in community engagement and data immersion; new curricula in artificial intelligence, bioinformatics, and clinical trials; and newly required curricula. 3) Launch trainees toward a successful translational science career of their choice by providing opportunities to learn about a variety of career opportunities and to develop a network that can provide immersive experiential learning with shadowing and externships within community-engaged research, industry, regulatory agencies, start-ups, and organizations that succeed through teamwork. We will rigorously evaluate outcomes and disseminate successful models, so that these novel programs can be continuously improved and the CTSA Consortium and others can benefit from these experiences.
Although our overall predoctoral program includes several degree and pathway programs, this application focuses on the PhD Program in Clinical and Translational Science, an innovative PhD track developed de novo to train leaders of translational research teams within an extensive and successful framework. We will build upon our considerable experience, retaining those elements of proven benefit and introducing new elements. Enhancements to the Program include expanded training opportunities; expanded opportunities for experiential learning on the Mayo Clinic campus and in partner institutions and novel extramural environments; enhanced ability to tailor the didactic curriculum to individual needs; and leveraging institutional and programmatic strengths to help individual trainees develop a career trajectory in translational science. We will increase our established collaboration with partner CTSA institutions at the University of Minnesota and in the Upper Midwest Consortium and further develop rigorous evaluation systems to track individual and Program outcomes using innovative and comprehensive metrics. We will disseminate successful practices through CTSA networks and national leadership.",SUCCESS
Nuri Ince,Acute Modulation of Stereotyped High Frequency Oscillations with a Closed-Loop Brain Interchange System in Drug Resistant Epilepsy,2024,UH3,619657,2021-09-01T00:00:00,2027-02-28T00:00:00,,,High,"""High Frequency Oscillations,"" ""Closed-Loop... System"" implies real-time signal processing and software engineering.","Project Summary:
High frequency oscillations (HFOs) of intracranial EEG (iEEG) have the potential to identify the surgical resection
area/seizure onset zone (SOZ) in patients with drug resistant epilepsy. However, multiple reports indicate that
HFOs can be generated not only by epileptic cerebral tissue but also by non-epileptic sites often including
eloquent regions such as motor, visual and language cortices. In this project, we present the initial evidence of
a recurrent waveform pattern that may be sufficient to distinguish pathological HFOs from physiological ones.
Specifically, we show that the SOZ repeatedly generates sets of stereotypical HFOs with similar
waveform morphology whereas the events recorded from out of SOZ were irregular. This morphological
pattern served as a robust neurobiomarker to isolate SOZ from other brain areas in multiple patients
consistently. While these promising preliminary results are in place, the functional utility of stereotyped
HFOs in a closed-loop seizure control system remains unknown.
As of today, not much is known whether the stereotyped HFOs generated by the SOZ can be detected with an
implantable system. If this can be achieved, then HFOs can be strategically translated as a neurobiomarker into
closed-loop seizure control applications. We hypothesize that pathologic stereotyped HFOs can be captured
with the implantable Brain Interchange (BIC) system of CorTec and spatial topography of these events can be
utilized by the implantable system to deliver targeted electrical stimulation to achieve seizure control. Using an
acute setup within the epilepsy monitoring unit (EMU), this project will investigate the feasibility of capturing
stereotyped HFO events using the new BIC system and compare the detection results to those obtained with
the commercially available amplifier. If the first phase (Aim-1) of our study becomes successful, later in the
second phase (Aim-2), once again in the EMU, we will deliver targeted electrical stimulation to those brain sites
associated with stereotyped HFOs using the BIC. We will investigate the modulatory effects of this closed-loop
stimulation strategy by monitoring the changes in signature events such as spikes, epileptic discharges, ripples
and fast ripples.
If successful, this closed-loop system does not have to wait for a seizure to start in order to deliver the stimulation
at its onset as done by the RNS system of Neuropace. In contrast, the system will monitor the spatial topography
and rate of stereotyped HFOs and deliver targeted stimulation to these areas to prevent seizures from occurring.
If the outcomes of our research in acute setting become successful, we will execute a clinical trial and run our
methods with the implanted BIC system in a chronic ambulatory setting.
1",SUCCESS
Aadel Chaudhuri; Aaron Newman,Determinants of toxicity and response to immune checkpoint blockade through integrative profiling of T cell clonal dynamics and plasma cell- free DNA,2024,R01,711704,2024-06-07T00:00:00,2029-05-31T00:00:00,,,High,"""integrative profiling,"" ""T cell clonal dynamics,"" and ""cell-free DNA"" are all core computational immunology/genomics topics.","PROJECT SUMMARY
Severe immune-related adverse events (irAEs) occur in up to ~60% of melanoma patients treated
with combination (anti-PD1 / anti-CTLA4) immune checkpoint inhibitors (ICIs), and cause treatment-
related morbidity and mortality. However, the pathophysiology underlying severe irAE development
remains unclear and there is no way in clinical practice to predict who will develop severe toxicities
and who will not. Based on our preliminary data, we hypothesize that clonally diverse activated CD4
memory T cells, and more specifically CXCR5–PD1hi peripheral helper T (Tph) cells, specifically
underpin ICI-mediated toxicity in melanoma patients. To address this hypothesis, we will perform flow
cytometry, CyTOF, scRNA-seq, scV(D)J-seq and immunoSEQ® to broadly assess T and B cell states
in peripheral blood to 1) determine whether Tph levels in pretreatment blood are predictive of severe
irAE development in melanoma patients treated with combination immunotherapy (Aim 1), and 2)
determine whether Tph clonotypes preferentially expand in on-treatment blood and are enriched in
irAE skin lesions during combination immunotherapy in patients who develop severe toxicity (Aim 2).
While the prediction of severe irAEs from peripheral blood will be important clinically, patients who
experience some degree of toxicity have also been shown to have better durable immunotherapy
response rates. Therefore, it will be challenging to make clinical decisions regarding immunotherapy
without also considering the probability of durable response. We will thus utilize cell-free DNA
methylation sequencing to predict 1) immunotherapy toxicity and 2) durable immunotherapy response
concurrently from pre-treatment plasma using both cell-state signatures and an agnostic machine
learning approach, which we will validate in held-out cohorts (Aim 3). By doing so, we will lay the
foundation for future clinical trials where immunotherapy decision-making is guided by the
risk versus benefit of combination immunotherapy using the liquid biopsy biomarkers defined
here. In summary, this study will reveal determinants of irAE development which will form the basis
for liquid biopsy technology to predict both immunotherapy response and toxicity to make treatment
safer and more personalized in the future.",SUCCESS
Ann Oberg,Management and Data Coordination Unit for PCDC,2024,U24,626858,2022-09-01T00:00:00,2027-08-31T00:00:00,,,High,"Bullseye. A U24 ""Management and Data Coordination Unit."" This is a job that is explicitly for computational/data management professionals.","PROJECT SUMMARY
Pancreatic ductal adenocarcinoma (PDAC) is a highly lethal cancer, partially owing to lack of effective
biomarkers and/or screening strategies. The 5-year survival of patients with localized PDAC is 39% compared
to 3% in patients diagnosed with metastatic disease, which indicates that detecting PDAC at early stage
positively impacts survival. A centrally curated/managed multi-institution biospecimen resource containing
prospectively collected, well-annotated biospecimens representing clinically relevant, diverse PDAC screening
populations is desperately needed. The overall goal of the Pancreatic Cancer Detection Consortium (PCDC)
Management and Data Coordinating Center (MDCU) is to facilitate the PCDC’s role in developing and utilizing
high quality, well annotated samples for PDAC biomarker discovery, triage, pre-validation, and validation. The
PCDC consortium is composed of multiple U01 Research Units (RU) and the MDCU, with NCI cooperation and
central biospecimen storage at the NCI Frederick Central Repository. We will leverage our expertise and
knowledge gained during the previous grant cycle to reinforce existing and new PCDC initiatives through
expanded coordination, and strengthening the infrastructure to support management of the PCDC Reference
Sets and Signature Protocols. Our Specific Aims are 1) To provide outstanding and timely administrative
coordination and logistical support for the Pancreatic Cancer Detection Consortium. 2) To strategically plan,
coordinate and implement the development of a well-annotated, uniformly collected and managed central PCDC
biorepository and database. 3) To provide the highest quality biostatistical leadership of PCDC collaborative
experimental design, study conduct, and analysis, and to provide biostatistical consultation to PCDC RUs. The
strengths of the MDCU are the breadth and depth of knowledge and understanding of PDAC provided by MDCU
personnel who will innovatively apply time tested infrastructure tools and strategies to consortium management,
and our vast experience in enhancing the scientific needs of PCDC collaborative research. Our multidisciplinary
team is committed to continue its leadership and contribution to the PCDC organization to advance the early
detection of pancreatic cancer.",SUCCESS
Elizabeth Brown; SHAJI KUMAR; CELINE VACHON,Impact of Genetic susceptibility along the continuum from MGUS to MM,2024,U01,621962,2022-05-01T00:00:00,2027-04-30T00:00:00,,,High,"""Genetic susceptibility"" is a computational genomics task.","ABSTRACT
Monoclonal gammopathy of undetermined significance (MGUS), is a benign plasma cell disorder, common in
the population (3-5% ≥50 years) and characterized by an asymptomatic clonal plasma cell expansion.
Although MGUS precedes multiple myeloma (MM) with progression rates of 1% per year, most (>75%) MGUS
never progress. MGUS is also associated with increased risk of infection, fracture, osteoporosis, renal
impairment, and thrombosis, with resultant morbidity and mortality. Few risk factors are identified for either the
development of MGUS or MGUS progression to MM, with African American (AA) ancestry being one of the
strongest. Identifying individuals who are more likely to progress is important given that individuals
with MGUS who are closely monitored prior to development of MM have better outcomes. Prior work
identified genetic variations associated with MM through family studies and, more recently, through genome
wide association studies (GWAS). However, no well-powered genetic epidemiology studies of MGUS have
been performed, particularly in AAs; and to our knowledge, none have investigated whether detection of
genetic variation improves the identification of high-risk MGUS, including those that progress to MM.
Therefore, we propose a comprehensive evaluation of genetic susceptibility to MGUS (Aim 1) and MGUS
progression to MM (Aim 2) using established epidemiologic and genomic studies among European Americans
(EA). Given the racial predisposition for MGUS and MM among AAs, for the first time, we propose to evaluate
the known MM susceptibility variants and novel variants identified in Aims 1-2 in AAs (Aim 3). Using both
GWAS and transcriptome-wide association studies (TWAS), we will answer the questions: (1) What are the
genetic variations and genes predisposing to MGUS (Aim 1)? (2) How do these compare to genetic
predisposition associated with progression from MGUS to MM (Aim 2)? (3) Do these identified genetic factors
(and consequent polygenic risk scores, PRS) differentiate between MGUS patients that do and do not progress
to active MM (Aim 2)? and finally, (4) Are these genetic factors for MGUS risk and progression similar across
populations of EA and AA ancestries (Aim 3)? We will utilize established EA and AA studies of MGUS and
MGUS progression to MM (MM vs. MGUS), the majority with GWAS, to allow for discovery and validation. We
will also leverage genomic data, including RNA-sequencing of both whole blood (peripheral blood mononuclear
cells, PBMCs) and sorted CD138+ bone marrow plasma cells (BMPCs) from MGUS patients to inform gene
expression for the TWAS. Further, we will perform functional characterization of the new genes or variants
validated in both EA and AA populations. Upon completion, our study will validate and characterize germline
genetic factors associated with risk of MGUS and progression to MM in both EAs and AAs. It will have high
impact, providing insight to MGUS and MM etiology and informing genetic contributions to clinical risk models
for progression for the millions of people living with MGUS.",SUCCESS
Kareem Mohni,Proteomics of HSV1 Replication,2024,R35,397500,2022-08-15T00:00:00,2027-07-31T00:00:00,,,High,"""Proteomics"" requires computational analysis.","PROJECT SUMMARY
Cells have evolved complex machinery for both the replication of DNA and for repairing errors in
DNA. Herpes Simplex Virus 1 (HSV) is a large double strand DNA virus that replicates in the
nucleus of the host cell and commandeers some of this host replication machinery. Despite
decades of study, the mechanisms of HSV DNA replication are still poorly understood. The
incoming genome contains nicks and gaps, and it is not known when or if these are repaired in
relation to the timing of DNA synthesis. HSV encodes seven essential DNA replication proteins
including an origin binding protein, a single strand DNA (ssDNA) binding protein (ICP8), a three-
subunit helicase/primase (UL5/UL8/UL52), and a two-subunit polymerase (UL30/UL42). In
addition, HSV also encodes a two-unit recombinase consisting of a 5'-3' exonuclease (UL12) that
functions with ICP8. Isolation of proteins on nascent DNA (iPOND) is a powerful tool to study DNA
replication because it allows for the specific purification of replication forks away from bulk
chromatin. When coupled with SILAC (stable isotope labeling of amino acids in cell culture)-based
quantitative proteomics, the iPOND-SILAC-MS method provides a robust, unbiased discovery
tool to identify fork associated proteins by determining the intensity of proteins in a pulse sample
compared to a chase sample. We have utilized iPOND-SILAC-MS to generate robust data sets
of the protein composition of HSV replication forks and replication forks lacking UL12. In the
absence of UL12 a cellular deubiquitinating enzyme, USP15, is not recruited to replication forks.
USP15 interacts directly with UL12 and is required for efficient HSV replication. In addition to viral
proteins, many cellular proteins are enriched on viral replication forks. In twelve iPOND-SILAC-
MS we have identified 200-300 proteins (viral and host) enriched on HSV DNA replication forks.
 The overall goal of this research proposal is to identify the host proteins associated with
viral DNA to generate a more complete understanding of the mechanisms of HSV DNA
replication. To this end we will address three overlapping research areas in my laboratory: 1)
Characterize the physical interaction of UL12 with USP15, 2) Identify the human replisome
proteins required for HSV DNA replication, 3) Determine the fate of the nicks and gaps in the
incoming viral genome.",SUCCESS
